Date,total_sales,total_customers,open_stores,promo_stores,year,month,day_of_week,avg_sales_per_store
2013-05-27,9944524,998972,1112,1115,2013,5,1,8942.91726618705
2013-05-28,8390312,888040,1112,1115,2013,5,2,7545.244604316546
2013-05-29,8885059,908773,1112,1115,2013,5,3,7990.160971223022
2013-05-30,3422824,393933,429,1115,2013,5,4,7978.610722610722
2013-05-31,10913876,1081196,1112,1115,2013,5,5,9814.636690647481
2013-06-01,6907750,764268,1112,0,2013,6,6,6212.005395683454
2013-06-02,238144,41220,32,0,2013,6,7,7442.0
2013-06-03,10144989,1031251,1111,1115,2013,6,1,9131.403240324033
2013-06-04,8526834,914107,1112,1115,2013,6,2,7668.01618705036
2013-06-05,7683188,849201,1110,1115,2013,6,3,6921.790990990991
2013-06-06,7646668,860253,1109,1115,2013,6,4,6895.101893597835
2013-06-07,7967656,890566,1109,1115,2013,6,5,7184.541027953111
2013-06-08,5993792,703254,1110,0,2013,6,6,5399.812612612613
2013-06-09,226250,39873,31,0,2013,6,7,7298.387096774193
2013-06-10,6667460,806250,1111,0,2013,6,1,6001.314131413142
2013-06-11,6201425,761268,1111,0,2013,6,2,5581.8406840684065
2013-06-12,5961024,733378,1111,0,2013,6,3,5365.458145814581
2013-06-13,6044207,739896,1111,0,2013,6,4,5440.330333033304
2013-06-14,6887448,810875,1111,0,2013,6,5,6199.323132313231
2013-06-15,6144832,704128,1111,0,2013,6,6,5530.901890189019
2013-06-16,225065,40388,31,0,2013,6,7,7260.1612903225805
2013-06-17,10191372,1024967,1113,1115,2013,6,1,9156.66846361186
2013-06-18,8100286,873421,1113,1115,2013,6,2,7277.884995507637
2013-06-19,7243757,801809,1113,1115,2013,6,3,6508.317160826595
2013-06-20,7353311,807747,1113,1115,2013,6,4,6606.748427672956
2013-06-21,8406280,909465,1112,1115,2013,6,5,7559.604316546763
2013-06-22,6189413,710334,1112,0,2013,6,6,5566.018884892086
2013-06-23,224608,39661,31,0,2013,6,7,7245.419354838709
2013-06-24,6511212,791714,1112,0,2013,6,1,5855.406474820144
2013-06-25,5827831,714211,1112,0,2013,6,2,5240.855215827338
2013-06-26,6028195,730467,1112,0,2013,6,3,5421.038669064748
2013-06-27,6372971,750668,1112,0,2013,6,4,5731.089028776978
2013-06-28,7625077,841770,1112,0,2013,6,5,6857.083633093525
2013-06-29,6909121,744871,1111,0,2013,6,6,6218.830783078308
2013-06-30,252185,41765,31,0,2013,6,7,8135.0
2013-07-01,10750990,1072961,1110,1115,2013,7,1,9685.576576576577
2013-07-02,8936605,940849,1110,1115,2013,7,2,8050.995495495496
2013-07-03,8416942,873625,1110,1115,2013,7,3,7582.83063063063
2013-07-04,8458325,910326,1109,1115,2013,7,4,7626.983769161407
2013-07-05,8384512,916848,1111,1115,2013,7,5,7546.815481548155
2013-07-06,5927036,691010,1111,0,2013,7,6,5334.865886588659
2013-07-07,234369,44003,32,0,2013,7,7,7324.03125
2013-07-08,6652999,808138,1111,0,2013,7,1,5988.29792979298
2013-07-09,6157174,752882,1112,0,2013,7,2,5537.026978417266
2013-07-10,6248496,751347,1112,0,2013,7,3,5619.151079136691
2013-07-11,6483182,772085,1112,0,2013,7,4,5830.199640287769
2013-07-12,6699439,790991,1112,0,2013,7,5,6024.675359712231
2013-07-13,5987351,685630,1112,0,2013,7,6,5384.3084532374105
2013-07-14,253582,43412,32,0,2013,7,7,7924.4375
2013-07-15,11484803,1090839,1113,1115,2013,7,1,10318.780772686434
2013-07-16,9157994,933479,1113,1115,2013,7,2,8228.206648697214
2013-07-17,8269168,871697,1113,1115,2013,7,3,7429.6208445642405
2013-07-18,8092686,876113,1113,1115,2013,7,4,7271.056603773585
2013-07-19,8376476,908361,1114,1115,2013,7,5,7519.278276481149
2013-07-20,5941848,686036,1114,0,2013,7,6,5333.795332136445
2013-07-21,235211,45099,32,0,2013,7,7,7350.34375
2013-07-22,6285621,769064,1114,0,2013,7,1,5642.38868940754
2013-07-23,5767497,708902,1114,0,2013,7,2,5177.286355475763
2013-07-24,5966755,717449,1114,0,2013,7,3,5356.153500897666
2013-07-25,6065761,736248,1114,0,2013,7,4,5445.027827648115
2013-07-26,6270667,744737,1114,0,2013,7,5,5628.964991023339
2013-07-27,5448670,633102,1114,0,2013,7,6,4891.08617594255
2013-07-28,232442,42674,32,0,2013,7,7,7263.8125
2013-07-29,11299276,1060574,1114,1115,2013,7,1,10142.976660682227
2013-07-30,10064515,980897,1114,1115,2013,7,2,9034.573608617595
2013-07-31,10293490,1012667,1114,1115,2013,7,3,9240.11669658887
2013-08-01,8783485,930162,1113,1115,2013,8,4,7891.720575022462
2013-08-02,8085626,876003,1113,1115,2013,8,5,7264.713387241689
2013-08-03,6320830,715334,1113,0,2013,8,6,5679.092542677448
2013-08-04,252848,44662,32,0,2013,8,7,7901.5
2013-08-05,7169893,851752,1113,0,2013,8,1,6441.952380952381
2013-08-06,6366382,769303,1113,0,2013,8,2,5720.019766397125
2013-08-07,6414477,766591,1113,0,2013,8,3,5763.23180592992
2013-08-08,6430437,770607,1106,0,2013,8,4,5814.138336347197
2013-08-09,6589299,781132,1115,0,2013,8,5,5909.685201793722
2013-08-10,5881545,681555,1115,0,2013,8,6,5274.928251121076
2013-08-11,243358,42451,32,0,2013,8,7,7604.9375
2013-08-12,11137198,1095755,1115,1115,2013,8,1,9988.518385650224
2013-08-13,9179490,950342,1115,1115,2013,8,2,8232.726457399103
2013-08-14,8509505,909775,1115,1115,2013,8,3,7631.8430493273545
2013-08-15,7029537,790070,960,1115,2013,8,4,7322.434375
2013-08-16,8137427,901419,1113,1115,2013,8,5,7311.25516621743
2013-08-17,5584570,665213,1113,0,2013,8,6,5017.583108715185
2013-08-18,241793,42456,32,0,2013,8,7,7556.03125
2013-08-19,6391105,779212,1113,0,2013,8,1,5742.232704402516
2013-08-20,5989832,746497,1113,0,2013,8,2,5381.69991015274
2013-08-21,5696932,716191,1113,0,2013,8,3,5118.537286612758
2013-08-22,5759988,726355,1113,0,2013,8,4,5175.191374663073
2013-08-23,6035936,746418,1113,0,2013,8,5,5423.123090745732
2013-08-24,5397910,647011,1111,0,2013,8,6,4858.604860486049
2013-08-25,225182,41185,32,0,2013,8,7,7036.9375
2013-08-26,10302422,1026494,1112,1115,2013,8,1,9264.76798561151
2013-08-27,8397061,891739,1112,1115,2013,8,2,7551.313848920863
2013-08-28,7838558,844061,1113,1115,2013,8,3,7042.729559748428
2013-08-29,7970501,865299,1112,1115,2013,8,4,7167.716726618705
2013-08-30,9221577,971094,1114,1115,2013,8,5,8277.896768402154
2013-08-31,6458023,728094,1113,0,2013,8,6,5802.356693620844
2013-09-01,250990,42368,33,0,2013,9,7,7605.757575757576
2013-09-02,6834913,817928,1112,0,2013,9,1,6146.5044964028775
2013-09-03,6322579,780680,1110,0,2013,9,2,5696.017117117117
2013-09-04,5985810,749766,1110,0,2013,9,3,5392.621621621622
2013-09-05,5843845,736801,1110,0,2013,9,4,5264.725225225226
2013-09-06,6121373,753490,1110,0,2013,9,5,5514.75045045045
2013-09-07,5795003,680941,1111,0,2013,9,6,5216.024302430243
2013-09-08,225500,39630,32,0,2013,9,7,7046.875
2013-09-09,11058017,1059134,1111,1115,2013,9,1,9953.210621062106
2013-09-10,8946722,909871,1111,1115,2013,9,2,8052.8550855085505
2013-09-11,8285894,871907,1112,1115,2013,9,3,7451.343525179856
2013-09-12,8096007,880642,1112,1115,2013,9,4,7280.581834532374
2013-09-13,8371696,915379,1113,1115,2013,9,5,7521.7394429469905
2013-09-14,5894325,693776,1113,0,2013,9,6,5295.88948787062
2013-09-15,224076,39654,32,0,2013,9,7,7002.375
2013-09-16,6130906,769479,1113,0,2013,9,1,5508.451033243486
2013-09-17,5785061,733944,1113,0,2013,9,2,5197.718778077268
2013-09-18,5438193,687725,1114,0,2013,9,3,4881.681328545781
2013-09-19,5797033,734083,1114,0,2013,9,4,5203.7998204667865
2013-09-20,6042768,743017,1114,0,2013,9,5,5424.387791741472
2013-09-21,5745122,681199,1114,0,2013,9,6,5157.201077199282
2013-09-22,204164,36938,32,0,2013,9,7,6380.125
2013-09-23,9449348,967001,1114,1115,2013,9,1,8482.359066427289
2013-09-24,7922441,858835,1114,1115,2013,9,2,7111.706463195691
2013-09-25,7390563,814577,1115,1115,2013,9,3,6628.307623318386
2013-09-26,7489318,826372,1115,1115,2013,9,4,6716.877130044843
2013-09-27,8267396,896964,1115,1115,2013,9,5,7414.704932735426
2013-09-28,6245049,712937,1115,0,2013,9,6,5600.940807174888
2013-09-29,228875,40267,33,0,2013,9,7,6935.606060606061
2013-09-30,7660976,874726,1114,0,2013,9,1,6876.998204667863
2013-10-01,6677200,804037,1115,0,2013,10,2,5988.520179372197
2013-10-02,7168893,864349,1115,0,2013,10,3,6429.500448430494
2013-10-03,285518,48103,40,0,2013,10,4,7137.95
2013-10-04,8196635,945977,1115,0,2013,10,5,7351.242152466368
2013-10-05,6142021,706614,1115,0,2013,10,6,5508.539013452915
2013-10-06,217293,38215,31,0,2013,10,7,7009.451612903225
2013-10-07,11062400,1078134,1115,1115,2013,10,1,9921.434977578476
2013-10-08,8949093,929711,1115,1115,2013,10,2,8026.092376681614
2013-10-09,8089729,858684,1115,1115,2013,10,3,7255.362331838565
2013-10-10,7809827,842255,1115,1115,2013,10,4,7004.329147982063
2013-10-11,8141538,867610,1115,1115,2013,10,5,7301.827802690583
2013-10-12,6203651,709747,1115,0,2013,10,6,5563.812556053812
2013-10-13,227064,39547,31,0,2013,10,7,7324.645161290323
2013-10-14,6571405,796483,1115,0,2013,10,1,5893.636771300448
2013-10-15,5864402,712941,1115,0,2013,10,2,5259.5533632287
2013-10-16,5933839,728359,1115,0,2013,10,3,5321.828699551569
2013-10-17,5861163,719827,1115,0,2013,10,4,5256.648430493274
2013-10-18,6319569,769390,1115,0,2013,10,5,5667.774887892377
2013-10-19,5868927,689293,1115,0,2013,10,6,5263.611659192825
2013-10-20,208367,37774,31,0,2013,10,7,6721.5161290322585
2013-10-21,9833873,1007327,1115,1115,2013,10,1,8819.617040358744
2013-10-22,7927560,864183,1115,1115,2013,10,2,7109.91928251121
2013-10-23,7416700,816017,1115,1115,2013,10,3,6651.748878923767
2013-10-24,7378657,833168,1115,1115,2013,10,4,6617.629596412556
2013-10-25,7589058,849316,1115,1115,2013,10,5,6806.330044843049
2013-10-26,5744750,681333,1115,0,2013,10,6,5152.242152466368
2013-10-27,218159,39427,31,0,2013,10,7,7037.387096774193
2013-10-28,5831815,726542,1115,0,2013,10,1,5230.32735426009
2013-10-29,6145546,750236,1115,0,2013,10,2,5511.700448430493
2013-10-30,6970004,821116,1115,0,2013,10,3,6251.12466367713
2013-10-31,6807674,795543,951,0,2013,10,4,7158.4374342797055
2013-11-01,3940492,475218,543,0,2013,11,5,7256.891344383057
2013-11-02,7410509,813168,1115,0,2013,11,6,6646.1964125560535
2013-11-03,175864,33251,18,0,2013,11,7,9770.222222222223
2013-11-04,10568398,1018154,1115,1115,2013,11,1,9478.383856502242
2013-11-05,9306571,952191,1115,1115,2013,11,2,8346.700448430493
2013-11-06,8224747,859106,1115,1115,2013,11,3,7376.454708520179
2013-11-07,7951819,857946,1115,1115,2013,11,4,7131.676233183856
2013-11-08,8443830,911685,1115,1115,2013,11,5,7572.941704035875
2013-11-09,6566741,741586,1115,0,2013,11,6,5889.453811659193
2013-11-10,187852,34576,17,0,2013,11,7,11050.117647058823
2013-11-11,6423778,788493,1115,0,2013,11,1,5761.235874439461
2013-11-12,6003149,732948,1115,0,2013,11,2,5383.990134529148
2013-11-13,6028677,734978,1115,0,2013,11,3,5406.8852017937215
2013-11-14,6140303,739223,1115,0,2013,11,4,5506.998206278027
2013-11-15,6741987,790440,1115,0,2013,11,5,6046.625112107623
2013-11-16,6605960,736692,1115,0,2013,11,6,5924.627802690583
2013-11-17,194615,34381,17,0,2013,11,7,11447.941176470587
2013-11-18,10528615,1035495,1115,1115,2013,11,1,9442.70403587444
2013-11-19,8895888,918755,1115,1115,2013,11,2,7978.374887892377
2013-11-20,7472513,787897,1040,1115,2013,11,3,7185.108653846154
2013-11-21,8084449,870146,1115,1115,2013,11,4,7250.626905829597
2013-11-22,8199106,886710,1115,1115,2013,11,5,7353.458295964126
2013-11-23,6593077,740157,1115,0,2013,11,6,5913.073542600897
2013-11-24,198110,34995,17,0,2013,11,7,11653.529411764706
2013-11-25,7204808,823195,1115,0,2013,11,1,6461.711210762332
2013-11-26,6673704,777337,1115,0,2013,11,2,5985.384753363229
2013-11-27,6725418,766804,1115,0,2013,11,3,6031.765022421525
2013-11-28,7262197,813496,1115,0,2013,11,4,6513.181165919283
2013-11-29,8803269,926234,1115,0,2013,11,5,7895.308520179372
2013-11-30,8614478,908611,1115,0,2013,11,6,7725.989237668162
2013-12-01,220033,37733,17,0,2013,12,7,12943.117647058823
2013-12-02,12972440,1199202,1115,1115,2013,12,1,11634.47533632287
2013-12-03,10915444,1051677,1115,1115,2013,12,2,9789.635874439462
2013-12-04,10203870,989019,1115,1115,2013,12,3,9151.452914798207
2013-12-05,10296749,995117,1115,1115,2013,12,4,9234.752466367712
2013-12-06,8431475,881559,1115,1115,2013,12,5,7561.860986547085
2013-12-07,7231141,805445,1115,0,2013,12,6,6485.328251121076
2013-12-08,190125,34892,18,0,2013,12,7,10562.5
2013-12-09,7607576,872942,1115,0,2013,12,1,6822.9381165919285
2013-12-10,7458243,857397,1115,0,2013,12,2,6689.007174887893
2013-12-11,7364610,834467,1115,0,2013,12,3,6605.031390134529
2013-12-12,7520198,850768,1115,0,2013,12,4,6744.572197309417
2013-12-13,8012317,887006,1115,0,2013,12,5,7185.934529147982
2013-12-14,7938245,844563,1115,0,2013,12,6,7119.502242152466
2013-12-15,214032,36978,17,0,2013,12,7,12590.117647058823
2013-12-16,15623548,1340280,1115,1115,2013,12,1,14012.15067264574
2013-12-17,13053993,1198877,1115,1115,2013,12,2,11707.617040358744
2013-12-18,12189674,1158335,1115,1115,2013,12,3,10932.443049327354
2013-12-19,11740273,1154752,1115,1115,2013,12,4,10529.392825112107
2013-12-20,12334496,1219287,1115,1115,2013,12,5,11062.328251121076
2013-12-21,10165366,1053248,1115,0,2013,12,6,9116.920179372197
2013-12-22,263979,41248,28,0,2013,12,7,9427.82142857143
2013-12-23,14350056,1518600,1115,0,2013,12,1,12870.00538116592
2013-12-24,5232808,580313,1115,0,2013,12,2,4693.101345291479
2013-12-25,142585,24022,17,0,2013,12,3,8387.35294117647
2013-12-26,188597,30762,19,0,2013,12,4,9926.157894736842
2013-12-27,8168568,937104,1115,0,2013,12,5,7326.0699551569505
2013-12-28,6726568,758154,1115,0,2013,12,6,6032.796412556054
2013-12-29,226553,36760,25,0,2013,12,7,9062.12
2013-12-30,10192135,1117442,1115,0,2013,12,1,9140.928251121077
2013-12-31,4534864,531392,1115,0,2013,12,2,4067.142600896861
2014-01-01,118108,21925,18,0,2014,1,3,6561.555555555556
2014-01-02,6980556,818375,1115,0,2014,1,4,6260.588340807175
2014-01-03,7024253,818253,1115,0,2014,1,5,6299.778475336323
2014-01-04,6357259,723684,1115,0,2014,1,6,5701.577578475336
2014-01-05,184905,32322,22,0,2014,1,7,8404.772727272728
2014-01-06,8661727,834045,809,1115,2014,1,1,10706.708281829418
2014-01-07,10456932,1037300,1115,1115,2014,1,2,9378.414349775785
2014-01-08,8643239,894254,1115,1115,2014,1,3,7751.783856502242
2014-01-09,8016642,855056,1115,1115,2014,1,4,7189.813452914798
2014-01-10,8548672,916235,1115,1115,2014,1,5,7666.970403587444
2014-01-11,6231179,709633,1112,0,2014,1,6,5603.578237410072
2014-01-12,175744,31433,17,0,2014,1,7,10337.882352941177
2014-01-13,6089929,758082,1112,0,2014,1,1,5476.554856115108
2014-01-14,5785842,719948,1112,0,2014,1,2,5203.095323741008
2014-01-15,5779426,708232,1111,0,2014,1,3,5202.003600360036
2014-01-16,5720266,700350,1110,0,2014,1,4,5153.3927927927925
2014-01-17,6332625,764681,1110,0,2014,1,5,5705.0675675675675
2014-01-18,6213031,711332,1110,0,2014,1,6,5597.325225225225
2014-01-19,175778,32218,17,0,2014,1,7,10339.882352941177
2014-01-20,10648819,1001444,1110,1115,2014,1,1,9593.53063063063
2014-01-21,8475207,851491,1110,1115,2014,1,2,7635.3216216216215
2014-01-22,7970289,832078,1110,1115,2014,1,3,7180.4405405405405
2014-01-23,7625568,816995,1110,1115,2014,1,4,6869.881081081081
2014-01-24,7851977,841433,1112,1115,2014,1,5,7061.130395683454
2014-01-25,5986034,684990,1112,0,2014,1,6,5383.124100719425
2014-01-26,160153,30422,17,0,2014,1,7,9420.764705882353
2014-01-27,5689615,714492,1113,0,2014,1,1,5111.96316262354
2014-01-28,5790602,719520,1113,0,2014,1,2,5202.697214734951
2014-01-29,5809489,692939,1113,0,2014,1,3,5219.666666666667
2014-01-30,6313068,744214,1113,0,2014,1,4,5672.118598382749
2014-01-31,7935853,875811,1113,0,2014,1,5,7130.1464510332435
2014-02-01,6934170,741526,1113,0,2014,2,6,6230.161725067385
2014-02-02,214940,36895,18,0,2014,2,7,11941.111111111111
2014-02-03,11757740,1099528,1113,1115,2014,2,1,10564.007187780773
2014-02-04,9651472,968587,1113,1115,2014,2,2,8671.583108715184
2014-02-05,8456987,874257,1113,1115,2014,2,3,7598.37106918239
2014-02-06,8226263,887136,1113,1115,2014,2,4,7391.071877807727
2014-02-07,8075318,863398,1113,1115,2014,2,5,7255.451931716083
2014-02-08,6387706,722556,1113,0,2014,2,6,5739.178796046721
2014-02-09,190226,35021,17,0,2014,2,7,11189.764705882353
2014-02-10,6451410,799112,1112,0,2014,2,1,5801.627697841726
2014-02-11,6056843,755240,1112,0,2014,2,2,5446.801258992806
2014-02-12,6046448,748447,1113,0,2014,2,3,5432.567834681042
