Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,total_sales,total_customers,avg_daily_sales,avg_daily_customers,operating_days
101,d,c,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec",5856384,609290,7469.877551020408,777.155612244898,784
102,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",5444156,808768,7061.162127107653,1048.9857328145265,771
103,d,c,5210.0,5.0,2015.0,0,,,,2959073,266040,4689.497622820919,421.6164817749604,631
104,a,a,390.0,6.0,2009.0,0,,,,7939205,1028904,10126.536989795919,1312.3775510204082,784
105,a,c,6190.0,,,1,23.0,2013.0,"Mar,Jun,Sept,Dec",3348791,388347,4441.3673740053055,515.0490716180371,754
106,a,a,1390.0,8.0,2013.0,0,,,,6718335,639877,8668.81935483871,825.6477419354839,775
107,a,a,1930.0,9.0,2009.0,0,,,,5751886,748964,7336.589285714285,955.3112244897959,784
108,d,c,2190.0,9.0,2003.0,0,,,,6863994,527942,11035.360128617363,848.7813504823151,622
109,a,c,3300.0,11.0,2010.0,0,,,,5068030,582023,6464.323979591837,742.3762755102041,784
110,a,c,46590.0,4.0,2013.0,0,,,,3554993,460552,4534.429846938776,587.4387755102041,784
111,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5288733,466784,6771.745198463508,597.6747759282971,781
112,a,a,1630.0,9.0,2009.0,0,,,,4883888,608379,6229.448979591837,775.9936224489796,784
113,d,c,20930.0,11.0,1999.0,0,,,,4477826,434973,7199.077170418006,699.3135048231511,622
114,c,a,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec",4191703,476770,5346.559948979592,608.125,784
115,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4585191,343372,7371.689710610933,552.0450160771704,622
116,a,a,680.0,4.0,2013.0,0,,,,5711629,593708,7294.54533844189,758.2477650063857,783
117,a,a,3450.0,9.0,2011.0,0,,,,3024044,383319,3881.956354300385,492.06546854942235,779
118,d,c,3580.0,9.0,2012.0,0,,,,6085216,528277,7781.606138107417,675.5460358056266,782
119,a,c,2100.0,2.0,2010.0,0,,,,4707987,521332,6005.085459183673,664.9642857142857,784
120,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",5552990,498431,7110.102432778489,638.1959026888604,781
121,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3473474,393208,4453.171794871795,504.1128205128205,780
122,a,c,58260.0,4.0,2013.0,0,,,,5718883,702496,6462.014689265537,793.780790960452,885
123,a,a,16760.0,9.0,2011.0,0,,,,6450589,737109,8399.204427083334,959.77734375,768
124,a,a,1410.0,4.0,2003.0,0,,,,3446410,409507,4424.1463414634145,525.6829268292682,779
125,a,a,760.0,12.0,2005.0,0,,,,9280089,1233970,11836.848214285714,1573.9413265306123,784
126,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov",5069540,423630,6507.75353016688,543.8125802310655,779
127,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3263370,411023,5238.154093097914,659.7479935794543,623
128,d,c,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",5822099,464447,7454.672215108835,594.6824583866837,781
129,a,a,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct",5727451,724918,9208.120578778135,1165.4630225080386,622
130,c,a,900.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3999550,448095,5121.062740076824,573.7451984635084,781
131,c,a,920.0,7.0,2015.0,0,,,,4109540,435381,5275.404364569961,558.8973042362003,779
132,d,c,1040.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3908185,362256,6283.255627009647,582.4051446945338,622
133,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",5057788,593403,6467.759590792839,758.8273657289003,782
134,a,a,1200.0,9.0,2008.0,0,,,,3705099,387764,4725.8915816326535,494.5969387755102,784
135,d,a,5190.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",4648837,421569,5952.416133162612,539.7810499359795,781
136,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov",3414045,263716,5488.818327974276,423.98070739549837,622
137,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5147039,595429,8274.98231511254,957.2813504823151,622
138,a,c,25360.0,10.0,2014.0,0,,,,5721236,557266,7334.917948717949,714.4435897435898,780
139,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",4020701,319593,6464.1495176848875,513.8151125401929,622
140,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",5833328,752581,7469.049935979513,963.6120358514725,781
141,c,c,1540.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec",4305156,475445,5540.741312741313,611.8983268983269,777
142,a,a,1090.0,7.0,2002.0,0,,,,3586489,443045,4603.965340179718,568.7355584082156,779
143,d,a,2930.0,12.0,2002.0,0,,,,4919195,453411,6314.756097560976,582.0423620025674,779
144,a,c,16570.0,,,0,,,,4823879,455556,7718.2064,728.8896,625
145,a,a,280.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",5072096,770814,8342.263157894737,1267.7861842105262,608
146,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct",6086195,547187,7812.83055198973,702.4223363286264,779
147,d,c,8540.0,,,0,,,,6397583,685221,8212.558408215662,879.6161745827984,779
148,a,a,2090.0,12.0,2008.0,0,,,,6772949,642470,8638.96556122449,819.4770408163265,784
149,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3462975,302428,5567.483922829582,486.21864951768487,622
150,c,c,31830.0,3.0,2010.0,0,,,,6599117,643191,8417.24107142857,820.3966836734694,784
151,d,c,4360.0,10.0,2005.0,0,,,,5269496,508566,6755.764102564102,652.0076923076923,780
152,a,a,1780.0,,,0,,,,4317171,484073,5541.939666238768,621.403080872914,779
153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov",5505047,493792,7066.812580231065,633.8793324775353,779
154,d,c,16420.0,,,0,,,,6824045,575933,8737.57362355954,737.4302176696543,781
155,d,a,3050.0,,,1,35.0,2010.0,"Jan,Apr,Jul,Oct",4290509,411372,6886.852327447833,660.3081861958267,623
156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec",5443980,557269,6961.611253196931,712.6202046035805,782
157,a,c,2950.0,10.0,2004.0,0,,,,7574054,771078,9722.790757381257,989.8305519897305,779
158,d,c,11840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov",6354198,405068,8156.865211810013,519.9845956354301,779
159,d,a,8530.0,3.0,2013.0,0,,,,4827383,433591,7748.60834670947,695.9727126805778,623
160,d,c,17110.0,11.0,2005.0,0,,,,4475644,436723,5730.658130601792,559.1843790012804,781
161,a,c,2970.0,3.0,2005.0,0,,,,5649774,638171,7252.598202824133,819.2182284980745,779
162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",6066911,433998,7768.131882202305,555.6952624839948,781
163,a,a,1480.0,4.0,2009.0,0,,,,5722186,682711,7298.706632653061,870.8048469387755,784
164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3868966,394629,6210.218298555377,633.4333868378812,623
165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2486031,262891,3996.8344051446948,422.65434083601286,622
166,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",4533193,636652,5819.24646983312,817.2682926829268,779
167,a,a,140.0,4.0,2008.0,0,,,,7250708,823044,9295.779487179487,1055.1846153846154,780
168,a,a,12540.0,,,0,,,,5840824,568177,7517.148005148005,731.2445302445302,777
169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",5529699,526944,7218.92819843342,687.9164490861618,766
170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3902355,423591,5009.441591784339,543.7625160462131,779
171,a,a,2640.0,,,0,,,,6566306,675584,8429.147625160462,867.2451861360719,779
172,a,a,110.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4342600,540457,6981.672025723473,868.9019292604502,622
173,a,a,350.0,12.0,2012.0,0,,,,6454502,789125,8232.783163265307,1006.5369897959183,784
174,a,a,13090.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3692528,298263,5936.540192926045,479.5225080385852,622
175,c,a,4130.0,,,0,,,,4535086,541515,5784.548469387755,690.7079081632653,784
176,a,a,3770.0,,,0,,,,4111700,492327,5278.177150192554,631.9987163029525,779
177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov",3115395,378516,3994.096153846154,485.2769230769231,780
178,d,a,1710.0,,,0,,,,7870142,720381,10089.92564102564,923.5653846153846,780
179,a,c,480.0,,,0,,,,5683019,744593,7295.274711168165,955.8318356867779,779
180,d,a,5800.0,9.0,2010.0,0,,,,5660528,661099,7220.061224489796,843.2385204081633,784
181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3976421,416656,6382.698234349919,668.7897271268058,623
182,d,c,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec",4142935,326297,5304.654289372599,417.79385403329064,781
183,a,a,9670.0,,,0,,,,2945836,367233,4821.335515548281,601.0360065466449,611
184,d,c,3560.0,,,0,,,,5123769,462834,6594.2972972972975,595.6679536679536,777
185,d,c,1860.0,5.0,2015.0,0,,,,5621764,427459,7170.617346938776,545.2283163265306,784
186,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2353548,237019,3783.83922829582,381.0594855305466,622
187,a,c,19360.0,,,0,,,,4923311,608155,6279.7334183673465,775.7079081632653,784
188,d,a,850.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov",3884836,341389,4986.952503209242,438.2400513478819,779
189,d,a,5760.0,7.0,2014.0,0,,,,6826322,652121,8762.929396662388,837.1258023106546,779
190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4477750,408097,7198.954983922829,656.104501607717,622
191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",4253819,444020,6838.9372990353695,713.8585209003215,622
192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",5608471,401447,9016.834405144695,645.4131832797427,622
193,a,a,520.0,,,0,,,,4166302,607349,5362.036036036036,781.6589446589446,777
194,d,c,16970.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov",3752516,324514,4829.492921492922,417.6499356499356,777
195,a,c,220.0,,,0,,,,8345567,1011485,10713.17971758665,1298.4403080872914,779
196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",4079175,544939,5216.3363171355495,696.8529411764706,782
197,c,a,4210.0,3.0,2015.0,0,,,,5367788,660348,6846.668367346939,842.280612244898,784
198,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2268273,264690,2900.6048593350383,338.4782608695652,782
199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec",6197488,486550,7955.697047496791,624.5827984595635,779
200,a,a,1650.0,10.0,2000.0,0,,,,6021315,753802,7729.5442875481385,967.6534017971759,779
201,d,a,20260.0,,,1,18.0,2014.0,"Mar,Jun,Sept,Dec",4089245,346044,5249.351732991014,444.21566110397947,779
202,d,c,5140.0,5.0,2010.0,0,,,,4737388,397835,6065.797695262484,509.39180537772086,781
203,c,c,490.0,11.0,2002.0,0,,,,5298238,690154,6775.240409207161,882.5498721227622,782
204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3412446,326039,5486.247588424438,524.1784565916398,622
205,a,a,110.0,12.0,2007.0,0,,,,5124867,689282,6536.820153061224,879.1862244897959,784
206,a,c,380.0,,,1,14.0,2012.0,"Jan,Apr,Jul,Oct",5575733,623126,7157.551989730424,799.9050064184852,779
207,a,a,6870.0,,,0,,,,8768418,1019499,11184.206632653062,1300.3813775510205,784
208,c,a,300.0,4.0,2006.0,0,,,,2302052,324162,2936.2908163265306,413.4719387755102,784
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",4928424,509083,5587.78231292517,577.1916099773242,882
210,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2488114,254156,3193.98459563543,326.25930680359437,779
211,a,c,350.0,11.0,2006.0,0,,,,10187567,1164871,12994.345663265307,1485.8048469387754,784
212,a,c,15050.0,9.0,2008.0,0,,,,3744115,361234,4775.656887755102,460.7576530612245,784
213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct",6334081,508427,8131.0410783055195,652.6662387676508,779
214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",7269531,557336,9331.875481386392,715.4505776636714,779
215,d,a,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",3920679,304466,6313.492753623188,490.28341384863126,621
216,c,a,190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov",5607978,688834,7226.775773195876,887.6726804123712,776
217,c,a,3150.0,,,0,,,,3685496,504018,4700.8877551020405,642.8801020408164,784
218,a,c,640.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3121555,433160,5018.577170418006,696.3987138263666,622
219,a,a,1640.0,2.0,2013.0,0,,,,2441162,316620,3133.712451861361,406.4441591784339,779
220,a,a,1000.0,9.0,2008.0,0,,,,3807392,500228,4906.432989690722,644.6237113402062,776
221,d,c,13530.0,9.0,2013.0,0,,,,4564321,433356,5821.838010204082,552.75,784
222,a,a,2170.0,11.0,2008.0,0,,,,3906246,440266,4982.456632653061,561.5637755102041,784
223,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct",5656109,577676,7232.875959079284,738.7161125319693,782
224,d,c,7930.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct",5151315,371919,6629.749034749035,478.66023166023166,777
225,d,a,10180.0,5.0,2015.0,0,,,,4064054,435047,5197.0,556.3260869565217,782
226,a,a,450.0,,,0,,,,5667944,549052,7257.290653008963,703.01152368758,781
227,a,a,2370.0,,,0,,,,4623704,430968,6020.447916666667,561.15625,768
228,d,c,10800.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov",6190043,462038,7946.139922978177,593.1168164313223,779
229,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",6734738,571982,8645.36328626444,734.2516046213094,779
230,d,c,6680.0,9.0,2013.0,0,,,,5928326,737138,7561.640306122449,940.2270408163265,784
231,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov",2967114,245380,4770.279742765273,394.5016077170418,622
232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec",2583221,232738,3372.351174934726,303.8355091383812,766
233,a,a,1890.0,,,0,,,,7365681,805731,9431.089628681179,1031.6658130601793,781
